Node ID,LAT,LON
393,29.693536,-95.028572
394,29.716575,-94.997369
395,29.740769,-94.990668
396,29.716683,-94.997521
397,29.69242,-95.029593
398,29.665282,-95.029344
399,29.740651,-94.990474
400,29.756096,-94.995407
401,29.770171,-95.013014
402,29.783107,-95.032034
403,29.78703,-95.041489
404,29.790298,-95.053075
405,29.786943,-95.0416
406,29.782949,-95.032041
407,29.769963,-95.013068
408,29.755924,-94.995515
409,29.580267,-95.385995
410,29.597369,-95.3864
411,29.627641,-95.386756
412,29.657749,-95.387008
413,29.68073,-95.380165
414,29.700965,-95.374785
415,29.736582,-95.36897
416,29.70094,-95.375431
417,29.68069,-95.382151
418,29.657726,-95.387493
419,29.627655,-95.387238
420,29.597354,-95.386788
421,29.748469,-95.456171
422,29.731941,-95.459821
423,29.773311,-95.455972
424,29.773334,-95.456242
425,29.731933,-95.46013
426,29.636458,-95.029902
427,29.603748,-95.032048
428,29.575972,-95.027974
429,29.563763,-95.026
430,29.541006,-95.02009
431,29.563772,-95.025851
432,29.575966,-95.027773
433,29.603743,-95.03191
434,29.992362,-95.768947
435,30.002663,-95.768915
436,30.032063,-95.764078
437,30.053271,-95.733785
438,30.052166,-95.697533
439,30.050601,-95.660108
440,30.052223,-95.637501
441,30.05171,-95.615116
442,30.05383,-95.578808
443,30.075276,-95.556724
444,30.086946,-95.526913
445,30.094361,-95.506738
446,30.087774,-95.450722
447,30.092506,-95.435327
448,30.093286,-95.414389
449,30.110762,-95.387837
450,30.093512,-95.414449
451,30.092767,-95.435363
452,30.088014,-95.450695
453,30.094548,-95.506743
454,30.087104,-95.527087
455,30.075401,-95.556885
456,30.053969,-95.57898
457,30.05194,-95.615233
458,30.05243,-95.637498
459,30.050682,-95.660129
460,30.05235,-95.697511
461,30.053472,-95.733832
462,30.032093,-95.76422
463,30.002667,-95.76914
464,30.087634,-95.412911
465,30.026616,-95.404532
466,29.983611,-95.393988
467,29.957565,-95.380275
468,29.932806,-95.37984
469,29.902199,-95.372977
470,29.870723,-95.365111
471,29.846507,-95.359059
472,29.811938,-95.347828
473,29.846576,-95.358647
474,29.870712,-95.364657
475,29.902199,-95.372544
476,29.932834,-95.379659
477,29.957551,-95.38011
478,29.98363,-95.393813
479,30.065785,-95.408069
480,30.087718,-95.412772
481,29.723597,-95.49148
482,29.721264,-95.520277
483,29.718334,-95.557411
484,29.715474,-95.592308
485,29.712802,-95.624026
486,29.709609,-95.660477
487,29.712715,-95.624022
488,29.715396,-95.592289
489,29.718234,-95.557395
490,29.721186,-95.520257
491,29.805852,-95.4459
492,29.873496,-95.554465
493,29.931794,-95.412051
494,29.828658,-95.380953
495,30.021412,-95.428664
496,29.742744,-95.358464
497,29.982378,-95.276752
